transaction_id,payer_id,payee_id,amount,transaction_date
1580515618419523584,a7b8c9d0-1234-4567-89ab-cdef01234567,b2c3d4e5-2345-5678-9abc-def012345678,1500.00,2024-01-02
1580515618419523585,c3d4e5f6-3456-6789-abcd-ef0123456789,a7b8c9d0-1234-4567-89ab-cdef01234567,2750.50,2024-01-02
1580515618419523586,b2c3d4e5-2345-5678-9abc-def012345678,d4e5f6a7-4567-789a-bcde-f01234567890,900.00,2024-01-03
1580515618419523587,e5f6a7b8-5678-89ab-cdef-012345678901,c3d4e5f6-3456-6789-abcd-ef0123456789,1200.00,2024-01-03
1580515618419523588,a7b8c9d0-1234-4567-89ab-cdef01234567,e5f6a7b8-5678-89ab-cdef-012345678901,3500.00,2024-01-04
1580515618419523589,d4e5f6a7-4567-789a-bcde-f01234567890,b2c3d4e5-2345-5678-9abc-def012345678,850.00,2024-01-04
1580515618419523590,b2c3d4e5-2345-5678-9abc-def012345678,c3d4e5f6-3456-6789-abcd-ef0123456789,1750.00,2024-01-05
1580515618419523591,c3d4e5f6-3456-6789-abcd-ef0123456789,d4e5f6a7-4567-789a-bcde-f01234567890,2200.00,2024-01-05
1580515618419523592,e5f6a7b8-5678-89ab-cdef-012345678901,a7b8c9d0-1234-4567-89ab-cdef01234567,4000.00,2024-01-06
1580515618419523593,d4e5f6a7-4567-789a-bcde-f01234567890,e5f6a7b8-5678-89ab-cdef-012345678901,1100.00,2024-01-06
1580515618419523594,a7b8c9d0-1234-4567-89ab-cdef01234567,c3d4e5f6-3456-6789-abcd-ef0123456789,2500.00,2024-01-08
1580515618419523595,b2c3d4e5-2345-5678-9abc-def012345678,e5f6a7b8-5678-89ab-cdef-012345678901,1800.00,2024-01-08
1580515618419523596,c3d4e5f6-3456-6789-abcd-ef0123456789,b2c3d4e5-2345-5678-9abc-def012345678,950.00,2024-01-09
1580515618419523597,e5f6a7b8-5678-89ab-cdef-012345678901,d4e5f6a7-4567-789a-bcde-f01234567890,2100.00,2024-01-09
1580515618419523598,d4e5f6a7-4567-789a-bcde-f01234567890,a7b8c9d0-1234-4567-89ab-cdef01234567,1650.00,2024-01-10
1580515618419523599,b2c3d4e5-2345-5678-9abc-def012345678,d4e5f6a7-4567-789a-bcde-f01234567890,1350.00,2024-01-11
1580515618419523600,c3d4e5f6-3456-6789-abcd-ef0123456789,e5f6a7b8-5678-89ab-cdef-012345678901,2850.00,2024-01-11
1580515618419523601,a7b8c9d0-1234-4567-89ab-cdef01234567,b2c3d4e5-2345-5678-9abc-def012345678,1950.00,2024-01-12
1580515618419523602,e5f6a7b8-5678-89ab-cdef-012345678901,c3d4e5f6-3456-6789-abcd-ef0123456789,3200.00,2024-01-12
1580515618419523603,d4e5f6a7-4567-789a-bcde-f01234567890,b2c3d4e5-2345-5678-9abc-def012345678,1750.00,2024-01-15
1580515618419523604,b2c3d4e5-2345-5678-9abc-def012345678,a7b8c9d0-1234-4567-89ab-cdef01234567,2250.00,2024-01-15
1580515618419523605,c3d4e5f6-3456-6789-abcd-ef0123456789,d4e5f6a7-4567-789a-bcde-f01234567890,1450.00,2024-01-16
1580515618419523606,a7b8c9d0-1234-4567-89ab-cdef01234567,e5f6a7b8-5678-89ab-cdef-012345678901,2800.00,2024-01-16
1580515618419523607,e5f6a7b8-5678-89ab-cdef-012345678901,b2c3d4e5-2345-5678-9abc-def012345678,1600.00,2024-01-17
1580515618419523608,d4e5f6a7-4567-789a-bcde-f01234567890,c3d4e5f6-3456-6789-abcd-ef0123456789,2950.00,2024-01-17
1580515618419523609,b2c3d4e5-2345-5678-9abc-def012345678,e5f6a7b8-5678-89ab-cdef-012345678901,1850.00,2024-01-18
1580515618419523610,c3d4e5f6-3456-6789-abcd-ef0123456789,a7b8c9d0-1234-4567-89ab-cdef01234567,2400.00,2024-01-18
1580515618419523611,e5f6a7b8-5678-89ab-cdef-012345678901,d4e5f6a7-4567-789a-bcde-f01234567890,1750.00,2024-01-19
1580515618419523612,a7b8c9d0-1234-4567-89ab-cdef01234567,c3d4e5f6-3456-6789-abcd-ef0123456789,3100.00,2024-01-19
1580515618419523613,d4e5f6a7-4567-789a-bcde-f01234567890,b2c3d4e5-2345-5678-9abc-def012345678,1550.00,2024-01-22
1580515618419523614,b2c3d4e5-2345-5678-9abc-def012345678,d4e5f6a7-4567-789a-bcde-f01234567890,2650.00,2024-01-22
1580515618419523615,c3d4e5f6-3456-6789-abcd-ef0123456789,e5f6a7b8-5678-89ab-cdef-012345678901,1900.00,2024-01-23
1580515618419523616,e5f6a7b8-5678-89ab-cdef-012345678901,a7b8c9d0-1234-4567-89ab-cdef01234567,2350.00,2024-01-23
1580515618419523617,a7b8c9d0-1234-4567-89ab-cdef01234567,b2c3d4e5-2345-5678-9abc-def012345678,1700.00,2024-01-24
1580515618419523618,d4e5f6a7-4567-789a-bcde-f01234567890,c3d4e5f6-3456-6789-abcd-ef0123456789,2450.00,2024-01-24
1580515618419523619,b2c3d4e5-2345-5678-9abc-def012345678,e5f6a7b8-5678-89ab-cdef-012345678901,1800.00,2024-01-25
1580515618419523620,c3d4e5f6-3456-6789-abcd-ef0123456789,d4e5f6a7-4567-789a-bcde-f01234567890,2100.00,2024-01-25
1580515618419523621,e5f6a7b8-5678-89ab-cdef-012345678901,b2c3d4e5-2345-5678-9abc-def012345678,1950.00,2024-01-26
1580515618419523622,a7b8c9d0-1234-4567-89ab-cdef01234567,d4e5f6a7-4567-789a-bcde-f01234567890,2750.00,2024-01-26
1580515618419523623,d4e5f6a7-4567-789a-bcde-f01234567890,e5f6a7b8-5678-89ab-cdef-012345678901,1650.00,2024-01-29
1580515618419523624,b2c3d4e5-2345-5678-9abc-def012345678,c3d4e5f6-3456-6789-abcd-ef0123456789,2200.00,2024-01-29
1580515618419523625,c3d4e5f6-3456-6789-abcd-ef0123456789,a7b8c9d0-1234-4567-89ab-cdef01234567,1850.00,2024-01-30
1580515618419523626,e5f6a7b8-5678-89ab-cdef-012345678901,d4e5f6a7-4567-789a-bcde-f01234567890,2500.00,2024-01-30
1580515618419523627,a7b8c9d0-1234-4567-89ab-cdef01234567,b2c3d4e5-2345-5678-9abc-def012345678,1400.00,2024-01-31
1580515618419523628,d4e5f6a7-4567-789a-bcde-f01234567890,c3d4e5f6-3456-6789-abcd-ef0123456789,2300.00,2024-01-31
1580515618419523629,b2c3d4e5-2345-5678-9abc-def012345678,e5f6a7b8-5678-89ab-cdef-012345678901,1750.00,2024-02-01
1580515618419523630,c3d4e5f6-3456-6789-abcd-ef0123456789,d4e5f6a7-4567-789a-bcde-f01234567890,2650.00,2024-02-01
1580515618419523631,e5f6a7b8-5678-89ab-cdef-012345678901,a7b8c9d0-1234-4567-89ab-cdef01234567,1900.00,2024-02-02
1580515618419523632,a7b8c9d0-1234-4567-89ab-cdef01234567,c3d4e5f6-3456-6789-abcd-ef0123456789,2800.00,2024-02-02
1580515618419523633,d4e5f6a7-4567-789a-bcde-f01234567890,b2c3d4e5-2345-5678-9abc-def012345678,1550.00,2024-02-05
